,Age,Customer-Period,MaximumSpend,Hidden-Score,Monthly-Average-Spend,Level,Mortgage,Security-Asset,Fixed-Deposit-Account,Internet-Banking,Credit-Card,Region,MaximumSpend_Log,Monthly-Average-Spend_Log,Mortgage_Log
3988,59,35,85,1,3.4,3,0,0,1,0,1,1,4.653960350157523,1.3609765531356006,2.995732273553991
473,64,39,182,1,1.2,2,547,0,0,1,0,3,5.308267697401205,0.5306282510621704,6.340359303727752
2433,37,11,123,1,2.3,2,0,1,1,1,0,4,4.962844630259907,1.0296194171811581,2.995732273553991
2051,34,8,38,4,0.2,1,0,0,0,0,0,0,4.060443010546419,-0.35667494393873245,2.995732273553991
4553,50,25,44,2,0.7,2,192,0,0,1,0,2,4.1588830833596715,0.1823215567939546,5.356586274672012
160,29,0,134,4,6.5,3,0,0,0,0,0,5,5.0369526024136295,1.9459101490553132,2.995732273553991
3992,47,22,95,2,3.9,2,0,0,0,0,0,3,4.74493212836325,1.4816045409242156,2.995732273553991
2178,37,13,158,2,2.3,2,0,0,1,1,1,3,5.181783550292085,1.0296194171811581,2.995732273553991
53,50,26,190,3,2.1,3,240,0,0,1,0,0,5.3471075307174685,0.9555114450274363,5.560681631015528
367,32,8,98,2,2.0,2,175,0,0,1,0,5,4.770684624465665,0.9162907318741551,5.272999558563747
4842,49,23,174,3,4.6,2,590,0,0,0,0,5,5.267858159063328,1.62924053973028,6.413458957167357
528,64,39,122,4,0.2,1,378,0,0,1,0,0,4.955827057601261,-0.35667494393873245,5.986452005284438
4019,62,36,28,3,0.7,2,0,0,0,1,0,5,3.871201010907891,0.1823215567939546,2.995732273553991
4046,25,0,72,3,2.6,3,0,0,0,1,0,4,4.5217885770490405,1.1314021114911006,2.995732273553991
4565,33,8,120,2,4.2,3,76,0,0,0,1,2,4.941642422609304,1.547562508716013,4.564348191467836
3854,31,6,83,4,1.8,3,0,0,0,1,0,4,4.634728988229636,0.8329091229351039,2.995732273553991
4354,40,16,140,3,5.6,1,0,0,0,0,0,3,5.075173815233827,1.8082887711792655,2.995732273553991
246,38,14,60,2,0.6,3,0,0,0,1,1,4,4.382026634673881,0.09531017980432493,2.995732273553991
1286,29,3,50,3,1.1,2,0,0,0,0,1,4,4.248495242049359,0.47000362924573563,2.995732273553991
3087,57,33,15,2,0.3,1,0,0,0,1,0,4,3.5553480614894135,-0.2231435513142097,2.995732273553991
4037,52,28,72,1,0.0,1,178,0,0,0,0,1,4.5217885770490405,-0.6931471805599453,5.288267030694535
362,58,32,113,2,1.4,1,270,0,0,0,1,4,4.890349128221754,0.6418538861723947,5.66988092298052
2080,65,40,69,4,0.1,2,0,0,0,1,0,1,4.48863636973214,-0.5108256237659907,2.995732273553991
2646,45,20,191,3,2.6,3,123,0,0,0,0,2,5.351858133476067,1.1314021114911006,4.962844630259907
2235,63,37,141,2,6.9,1,0,0,0,1,1,2,5.081404364984463,2.0014800002101243,2.995732273553991
3627,27,1,83,2,0.2,1,0,0,0,0,1,0,4.634728988229636,-0.35667494393873245,2.995732273553991
3137,61,36,13,3,0.5,1,0,0,0,1,0,1,3.4965075614664802,0.0,2.995732273553991
1225,30,6,118,2,2.8,2,0,0,0,0,0,4,4.927253685157205,1.1939224684724346,2.995732273553991
1524,40,16,155,4,0.1,3,0,0,1,1,1,4,5.1647859739235145,-0.5108256237659907,2.995732273553991
3481,52,26,34,1,0.3,3,0,0,0,1,0,3,3.9889840465642745,-0.2231435513142097,2.995732273553991
4525,36,11,110,1,3.8,1,0,0,0,1,1,4,4.867534450455582,1.4586150226995167,2.995732273553991
2234,36,12,35,4,0.4,2,0,0,0,1,0,5,4.007333185232471,-0.10536051565782628,2.995732273553991
3890,42,17,139,2,2.9,3,0,0,0,1,0,1,5.0689042022202315,1.2237754316221157,2.995732273553991
447,49,23,71,1,1.4,3,0,0,0,0,0,5,4.51085950651685,0.6418538861723947,2.995732273553991
4794,56,30,29,4,1.5,3,146,0,0,0,0,4,3.8918202981106265,0.6931471805599453,5.111987788356544
3788,32,7,82,2,2.5,1,221,0,0,1,1,5,4.624972813284271,1.0986122886681098,5.484796933490655
2956,62,38,195,4,5.2,3,522,0,1,1,1,1,5.3706380281276624,1.7404661748405046,6.295266001439646
3064,59,33,83,3,4.4,1,0,0,0,1,0,4,4.634728988229636,1.589235205116581,2.995732273553991
3270,50,23,179,4,3.6,2,0,0,0,1,0,4,5.293304824724492,1.410986973710262,2.995732273553991
2912,44,20,130,4,3.2,2,0,0,0,0,0,0,5.0106352940962555,1.308332819650179,2.995732273553991
4842,49,23,174,3,4.6,2,590,0,0,0,0,5,5.267858159063328,1.62924053973028,6.413458957167357
4377,33,8,145,1,2.7,3,0,0,0,1,0,2,5.10594547390058,1.1631508098056809,2.995732273553991
4275,63,38,102,4,3.4,2,0,0,0,0,0,5,4.804021044733257,1.3609765531356006,2.995732273553991
1666,51,25,190,2,4.2,2,0,0,0,1,0,5,5.3471075307174685,1.547562508716013,2.995732273553991
2536,51,25,104,1,4.2,2,0,0,0,1,0,4,4.820281565605037,1.547562508716013,2.995732273553991
4761,61,35,74,2,0.7,2,0,0,0,1,1,1,4.543294782270004,0.1823215567939546,2.995732273553991
300,34,9,70,4,1.3,1,0,1,0,0,0,2,4.499809670330265,0.5877866649021191,2.995732273553991
4655,33,7,188,2,7.0,2,581,0,0,0,0,5,5.337538079701318,2.0149030205422647,6.398594934535208
4282,26,0,195,3,6.33,3,0,1,1,1,0,2,5.3706380281276624,1.9213246735826988,2.995732273553991
332,59,33,42,1,0.8,2,0,0,0,1,0,5,4.127134385045092,0.26236426446749106,2.995732273553991
3639,51,26,191,1,8.1,1,0,1,0,1,0,4,5.351858133476067,2.151762203259462,2.995732273553991
2786,36,10,83,1,2.8,3,0,0,0,0,1,4,4.634728988229636,1.1939224684724346,2.995732273553991
343,35,5,22,1,0.67,3,103,0,0,0,0,3,3.7376696182833684,0.1570037488096647,4.812184355372417
1579,29,5,122,4,3.0,1,0,0,0,0,1,4,4.955827057601261,1.252762968495368,2.995732273553991
3441,64,40,18,2,0.3,3,0,1,1,1,1,4,3.6375861597263857,-0.2231435513142097,2.995732273553991
993,41,15,185,1,3.6,2,0,0,0,0,0,1,5.3230099791384085,1.410986973710262,2.995732273553991
813,50,25,130,1,1.1,2,0,0,0,1,0,4,5.0106352940962555,0.47000362924573563,2.995732273553991
2268,27,3,105,1,3.0,2,0,1,0,0,0,4,4.8283137373023015,1.252762968495368,2.995732273553991
1285,38,13,113,4,1.7,2,0,0,0,0,1,4,4.890349128221754,0.7884573603642703,2.995732273553991
4604,32,7,81,2,3.4,2,0,0,0,0,1,0,4.61512051684126,1.3609765531356006,2.995732273553991
1164,41,17,94,3,3.8,2,327,1,1,1,0,0,4.736198448394496,1.4586150226995167,5.849324779946859
1024,58,33,122,4,0.2,2,0,0,1,1,0,3,4.955827057601261,-0.35667494393873245,2.995732273553991
607,28,3,170,1,0.1,3,0,0,0,0,0,5,5.247024072160486,-0.5108256237659907,2.995732273553991
320,60,34,64,1,0.8,2,248,0,0,0,0,0,4.430816798843313,0.26236426446749106,5.5909869805108565
1579,29,5,122,4,3.0,1,0,0,0,0,1,4,4.955827057601261,1.252762968495368,2.995732273553991
736,61,35,152,3,3.3,3,0,0,0,1,0,1,5.147494476813453,1.33500106673234,2.995732273553991
4705,61,37,141,3,0.7,1,0,0,1,1,1,2,5.081404364984463,0.1823215567939546,2.995732273553991
254,65,41,134,3,3.9,3,121,0,0,1,0,1,5.0369526024136295,1.4816045409242156,4.948759890378168
2046,43,16,161,3,8.0,2,0,0,1,1,1,5,5.198497031265826,2.1400661634962708,2.995732273553991
4688,29,3,69,4,1.8,2,0,0,0,1,1,2,4.48863636973214,0.8329091229351039,2.995732273553991
3601,37,13,75,3,2.6,2,0,1,0,0,0,4,4.553876891600541,1.1314021114911006,2.995732273553991
1567,63,39,92,2,0.0,3,0,0,0,1,0,4,4.718498871295094,-0.6931471805599453,2.995732273553991
4437,63,38,63,2,1.5,1,0,0,0,1,0,2,4.418840607796598,0.6931471805599453,2.995732273553991
4803,48,24,48,2,2.1,3,0,0,0,1,0,2,4.219507705176107,0.9555114450274363,2.995732273553991
1616,48,23,84,4,3.1,2,0,1,1,1,0,4,4.6443908991413725,1.2809338454620642,2.995732273553991
1028,29,4,110,4,2.5,3,0,0,0,0,0,2,4.867534450455582,1.0986122886681098,2.995732273553991
2593,48,23,161,4,7.9,3,310,0,0,0,0,6,5.198497031265826,2.128231705849268,5.799092654460526
115,65,40,81,3,1.8,2,0,0,0,1,0,2,4.61512051684126,0.8329091229351039,2.995732273553991
988,63,39,32,1,1.9,2,100,0,0,0,0,4,3.9512437185814275,0.8754687373538999,4.787491742782046
1062,47,21,83,1,3.8,1,97,0,0,0,0,2,4.634728988229636,1.4586150226995167,4.762173934797756
1411,65,39,184,1,5.4,3,176,0,1,1,1,1,5.318119993844216,1.7749523509116738,5.278114659230517
1066,30,5,125,4,0.5,3,0,0,1,1,0,0,4.976733742420574,0.0,2.995732273553991
3613,35,11,148,1,5.8,3,0,0,0,1,0,2,5.123963979403259,1.840549633397487,2.995732273553991
3054,45,21,134,4,5.5,2,0,0,1,1,1,2,5.0369526024136295,1.791759469228055,2.995732273553991
2293,42,17,14,2,0.1,2,0,0,0,1,0,1,3.5263605246161616,-0.5108256237659907,2.995732273553991
261,42,16,111,2,1.2,3,251,0,0,1,0,3,4.875197323201151,0.5306282510621704,5.602118820879701
1889,56,30,111,4,0.3,1,372,1,1,1,0,3,4.875197323201151,-0.2231435513142097,5.971261839790462
2750,57,33,24,1,0.1,2,0,0,0,0,0,4,3.784189633918261,-0.5108256237659907,2.995732273553991
4412,34,10,19,4,0.4,2,0,0,0,0,0,1,3.6635616461296463,-0.10536051565782628,2.995732273553991
2620,48,22,152,1,0.0,1,0,0,0,0,0,5,5.147494476813453,-0.6931471805599453,2.995732273553991
1603,36,6,138,1,7.0,3,86,0,0,1,0,2,5.062595033026967,2.0149030205422647,4.663439094112067
4147,59,35,180,2,6.5,2,0,1,1,1,1,6,5.298317366548036,1.9459101490553132,2.995732273553991
632,57,32,165,4,2.7,3,0,0,0,1,0,4,5.220355825078324,1.1631508098056809,2.995732273553991
2773,63,37,185,2,7.9,2,358,0,0,1,0,4,5.3230099791384085,2.128231705849268,5.934894195619588
4035,34,9,180,2,6.5,3,0,0,1,1,0,3,5.298317366548036,1.9459101490553132,2.995732273553991
975,63,38,83,2,3.4,1,0,0,0,0,0,2,4.634728988229636,1.3609765531356006,2.995732273553991
3271,52,27,93,4,4.1,2,0,0,0,0,1,0,4.727387818712341,1.5260563034950492,2.995732273553991
2691,61,36,119,2,5.4,2,0,0,0,1,0,5,4.9344739331306915,1.7749523509116738,2.995732273553991
1577,34,8,65,1,3.0,1,227,0,0,1,0,2,4.442651256490317,1.252762968495368,5.5093883366279774
1376,63,39,45,4,1.3,2,86,0,0,0,0,2,4.174387269895637,0.5877866649021191,4.663439094112067
4124,53,29,141,2,0.2,3,0,0,0,0,0,0,5.081404364984463,-0.35667494393873245,2.995732273553991
1499,52,26,91,1,4.3,2,0,0,1,1,1,2,4.709530201312334,1.5686159179138452,2.995732273553991
1210,50,24,84,4,4.9,1,0,0,0,1,0,3,4.6443908991413725,1.6863989535702288,2.995732273553991
4226,37,13,45,1,1.8,1,0,0,0,0,0,4,4.174387269895637,0.8329091229351039,2.995732273553991
4906,54,28,49,1,2.2,3,128,0,0,0,0,4,4.23410650459726,0.9932517730102834,4.997212273764115
2996,42,18,103,1,3.33,1,0,1,1,1,1,1,4.812184355372417,1.3428648031925547,2.995732273553991
1583,61,36,184,4,2.3,2,342,0,1,1,1,2,5.318119993844216,1.0296194171811581,5.8916442118257715
2613,52,26,110,2,5.4,3,204,1,1,1,0,4,4.867534450455582,1.7749523509116738,5.4116460518550396
3370,39,13,59,3,0.9,3,199,1,0,1,0,0,4.3694478524670215,0.3364722366212129,5.389071729816501
1254,36,12,40,2,0.6,3,0,0,0,1,1,1,4.0943445622221,0.09531017980432493,2.995732273553991
2707,35,9,131,3,0.3,3,0,0,1,1,1,0,5.017279836814924,-0.2231435513142097,2.995732273553991
3456,46,22,125,2,4.7,3,0,0,0,1,0,4,4.976733742420574,1.6486586255873816,2.995732273553991
4020,58,32,191,4,5.2,3,194,0,0,0,1,3,5.351858133476067,1.7404661748405046,5.365976015021851
4169,41,17,143,2,2.7,3,209,0,0,1,0,0,5.093750200806762,1.1631508098056809,5.43372200355424
2613,52,26,110,2,5.4,3,204,1,1,1,0,4,4.867534450455582,1.7749523509116738,5.4116460518550396
4862,33,7,44,1,0.3,1,0,0,0,0,0,5,4.1588830833596715,-0.2231435513142097,2.995732273553991
3104,56,31,48,2,2.1,3,0,0,0,0,1,1,4.219507705176107,0.9555114450274363,2.995732273553991
4386,53,27,122,1,2.4,1,330,0,0,0,0,4,4.955827057601261,1.0647107369924282,5.857933154483459
3983,39,13,93,4,3.6,3,0,0,0,1,0,3,4.727387818712341,1.410986973710262,2.995732273553991
3578,29,5,128,2,4.1,2,209,0,0,1,0,1,4.997212273764115,1.5260563034950492,5.43372200355424
1349,26,2,171,3,6.0,2,0,0,0,1,0,3,5.25227342804663,1.8718021769015913,2.995732273553991
4190,40,16,89,3,3.9,2,216,1,1,1,0,5,4.6913478822291435,1.4816045409242156,5.4638318050256105
1237,38,13,169,1,6.8,3,0,0,1,1,1,2,5.241747015059643,1.9878743481543455,2.995732273553991
2751,47,23,32,4,0.6,1,156,0,0,1,1,2,3.9512437185814275,0.09531017980432493,5.170483995038151
1097,50,24,188,3,1.3,1,184,0,0,0,1,2,5.337538079701318,0.5877866649021191,5.318119993844216
4470,44,20,111,2,5.3,2,0,0,0,1,0,1,4.875197323201151,1.7578579175523736,2.995732273553991
4266,42,16,11,1,0.2,1,87,0,0,0,1,4,3.4339872044851463,-0.35667494393873245,4.672828834461906
1395,47,23,190,4,0.3,3,305,0,0,0,0,2,5.3471075307174685,-0.2231435513142097,5.783825182329737
2979,57,32,102,1,2.6,1,0,0,0,1,0,0,4.804021044733257,1.1314021114911006,2.995732273553991
2541,34,8,171,2,2.2,2,569,0,0,1,0,0,5.25227342804663,0.9932517730102834,6.3784261836515865
4181,47,22,22,1,0.4,3,0,0,0,1,0,0,3.7376696182833684,-0.10536051565782628,2.995732273553991
2449,31,7,64,1,1.2,1,0,0,0,1,0,4,4.430816798843313,0.5306282510621704,2.995732273553991
2802,52,22,154,1,5.0,3,0,1,1,1,0,0,5.159055299214529,1.7047480922384253,2.995732273553991
3711,27,1,20,4,0.4,1,99,0,0,1,0,4,3.6888794541139363,-0.10536051565782628,4.77912349311153
1752,33,8,155,1,7.4,3,0,0,0,0,0,2,5.1647859739235145,2.066862759472976,2.995732273553991
3126,57,32,74,4,0.7,1,0,0,0,0,1,2,4.543294782270004,0.1823215567939546,2.995732273553991
4573,46,20,73,2,0.8,3,264,0,1,1,1,5,4.532599493153256,0.26236426446749106,5.648974238161206
834,36,12,150,4,5.4,1,0,1,1,1,0,5,5.135798437050262,1.7749523509116738,2.995732273553991
1890,52,27,184,1,8.1,1,0,0,0,0,0,0,5.318119993844216,2.151762203259462,2.995732273553991
4404,29,5,34,1,0.4,3,0,0,0,0,0,4,3.9889840465642745,-0.10536051565782628,2.995732273553991
2021,46,20,103,4,4.8,3,0,0,0,1,0,1,4.812184355372417,1.667706820558076,2.995732273553991
1577,34,8,65,1,3.0,1,227,0,0,1,0,2,4.442651256490317,1.252762968495368,5.5093883366279774
3319,60,35,153,3,2.0,3,0,0,0,0,1,5,5.153291594497779,0.9162907318741551,2.995732273553991
1504,30,6,191,2,4.4,2,0,0,0,1,0,2,5.351858133476067,1.589235205116581,2.995732273553991
2292,57,33,170,2,2.1,2,0,0,0,0,0,5,5.247024072160486,0.9555114450274363,2.995732273553991
2813,48,22,14,2,0.1,3,0,0,0,1,0,4,3.5263605246161616,-0.5108256237659907,2.995732273553991
3541,45,20,144,4,5.4,1,210,0,0,1,0,2,5.099866427824199,1.7749523509116738,5.438079308923196
2662,65,41,158,2,2.1,1,0,0,0,0,0,2,5.181783550292085,0.9555114450274363,2.995732273553991
2493,34,9,49,1,2.5,3,0,0,0,0,0,4,4.23410650459726,1.0986122886681098,2.995732273553991
2494,35,9,63,2,1.8,1,0,0,0,1,0,2,4.418840607796598,0.8329091229351039,2.995732273553991
3719,33,8,53,3,2.3,1,76,0,0,1,0,2,4.290459441148391,1.0296194171811581,4.564348191467836
1641,58,34,152,4,3.6,3,0,0,0,0,0,2,5.147494476813453,1.410986973710262,2.995732273553991
4001,61,35,81,4,1.9,2,0,0,0,0,0,4,4.61512051684126,0.8754687373538999,2.995732273553991
1028,29,4,110,4,2.5,3,0,0,0,0,0,2,4.867534450455582,1.0986122886681098,2.995732273553991
3142,34,8,175,4,1.1,3,0,1,1,1,1,5,5.272999558563747,0.47000362924573563,2.995732273553991
1204,26,1,190,4,1.3,2,197,0,0,1,0,1,5.3471075307174685,0.5877866649021191,5.37989735354046
2477,40,14,179,1,2.6,3,0,0,0,1,0,0,5.293304824724492,1.1314021114911006,2.995732273553991
3784,30,6,115,4,3.8,2,0,0,0,1,0,4,4.90527477843843,1.4586150226995167,2.995732273553991
117,58,33,61,2,2.3,3,193,0,0,1,0,2,4.394449154672439,1.0296194171811581,5.3612921657094255
3140,33,7,31,4,1.0,1,0,0,0,1,1,4,3.9318256327243257,0.4054651081081644,2.995732273553991
4098,27,3,75,4,0.0,1,0,0,0,0,0,0,4.553876891600541,-0.6931471805599453,2.995732273553991
4094,53,23,8,4,0.4,3,0,1,0,1,0,5,3.332204510175204,-0.10536051565782628,2.995732273553991
607,28,3,170,1,0.1,3,0,0,0,0,0,5,5.247024072160486,-0.5108256237659907,2.995732273553991
288,44,19,172,2,4.3,3,391,1,1,1,0,4,5.2574953720277815,1.5686159179138452,6.018593214496234
2271,60,34,101,3,4.4,1,0,0,0,1,1,4,4.795790545596741,1.589235205116581,2.995732273553991
90,55,30,118,4,5.6,2,0,0,0,1,0,0,4.927253685157205,1.8082887711792655,2.995732273553991
2836,25,1,74,4,2.6,1,204,0,0,0,0,4,4.543294782270004,1.1314021114911006,5.4116460518550396
2805,37,12,182,3,5.8,3,0,0,0,1,0,4,5.308267697401205,1.840549633397487,2.995732273553991
316,57,31,165,1,1.6,2,0,0,0,1,0,5,5.220355825078324,0.7419373447293773,2.995732273553991
3747,26,0,83,3,3.9,2,0,0,0,1,0,1,4.634728988229636,1.4816045409242156,2.995732273553991
2077,34,9,160,4,8.0,3,0,0,0,0,1,4,5.19295685089021,2.1400661634962708,2.995732273553991
3517,30,6,95,1,3.9,3,146,0,0,0,1,4,4.74493212836325,1.4816045409242156,5.111987788356544
3242,38,14,33,1,2.0,2,0,0,0,1,0,2,3.970291913552122,0.9162907318741551,2.995732273553991
1444,60,33,154,1,3.0,2,0,1,1,1,0,0,5.159055299214529,1.252762968495368,2.995732273553991
2328,27,2,130,3,4.4,1,192,0,0,1,0,2,5.0106352940962555,1.589235205116581,5.356586274672012
4179,29,3,91,1,3.4,3,0,0,0,0,0,4,4.709530201312334,1.3609765531356006,2.995732273553991
3827,39,14,128,2,3.9,1,196,0,0,1,0,3,4.997212273764115,1.4816045409242156,5.375278407684165
3702,50,25,160,4,4.3,3,410,0,0,0,0,3,5.19295685089021,1.5686159179138452,6.063785208687608
2328,27,2,130,3,4.4,1,192,0,0,1,0,2,5.0106352940962555,1.589235205116581,5.356586274672012
2904,56,32,190,3,2.2,1,0,0,1,1,0,0,5.3471075307174685,0.9932517730102834,2.995732273553991
1105,35,10,182,1,0.3,2,229,0,1,1,1,5,5.308267697401205,-0.2231435513142097,5.517452896464707
2779,59,35,168,4,4.1,2,0,0,0,1,0,5,5.236441962829949,1.5260563034950492,2.995732273553991
2249,41,14,38,3,1.0,2,150,0,0,1,0,5,4.060443010546419,0.4054651081081644,5.135798437050262
1373,60,35,135,3,0.3,3,0,0,0,1,0,2,5.043425116919247,-0.2231435513142097,2.995732273553991
984,50,25,15,1,0.4,3,0,0,0,0,0,2,3.5553480614894135,-0.10536051565782628,2.995732273553991
417,53,29,83,4,1.0,2,0,0,0,1,0,0,4.634728988229636,0.4054651081081644,2.995732273553991
351,28,4,155,4,5.3,2,0,0,0,1,0,2,5.1647859739235145,1.7578579175523736,2.995732273553991
4168,60,34,139,4,0.4,1,0,0,0,1,0,5,5.0689042022202315,-0.10536051565782628,2.995732273553991
1442,39,13,71,3,0.1,1,162,1,0,1,0,5,4.51085950651685,-0.5108256237659907,5.204006687076795
2125,44,20,93,4,0.8,1,101,0,0,1,0,1,4.727387818712341,0.26236426446749106,4.795790545596741
2773,63,37,185,2,7.9,2,358,0,0,1,0,4,5.3230099791384085,2.128231705849268,5.934894195619588
3150,47,22,124,4,5.0,3,0,0,0,0,0,0,4.969813299576001,1.7047480922384253,2.995732273553991
3947,32,8,119,4,5.0,3,0,0,0,1,0,4,4.9344739331306915,1.7047480922384253,2.995732273553991
3976,60,33,42,4,2.5,2,194,0,0,1,0,0,4.127134385045092,1.0986122886681098,5.365976015021851
4876,44,19,142,1,1.5,3,0,0,0,0,0,5,5.087596335232384,0.6931471805599453,2.995732273553991
9,34,9,180,1,8.9,3,0,0,0,0,0,3,5.298317366548036,2.2407096892759584,2.995732273553991
2675,31,1,70,2,1.75,3,0,0,1,1,1,2,4.499809670330265,0.8109302162163288,2.995732273553991
4265,27,2,44,4,0.6,2,0,1,1,1,0,3,4.1588830833596715,0.09531017980432493,2.995732273553991
2602,52,26,161,4,4.3,1,0,0,1,1,1,3,5.198497031265826,1.5686159179138452,2.995732273553991
2539,32,7,98,1,4.2,1,171,1,1,0,0,5,4.770684624465665,1.547562508716013,5.25227342804663
3697,39,13,59,3,0.5,3,0,0,0,0,0,5,4.3694478524670215,0.0,2.995732273553991
1583,61,36,184,4,2.3,2,342,0,1,1,1,2,5.318119993844216,1.0296194171811581,5.8916442118257715
3906,61,35,60,1,2.5,3,0,0,0,1,0,0,4.382026634673881,1.0986122886681098,2.995732273553991
1731,43,19,125,3,2.4,1,0,0,0,1,0,2,4.976733742420574,1.0647107369924282,2.995732273553991
1265,32,2,71,2,1.75,3,108,0,0,0,0,5,4.51085950651685,0.8109302162163288,4.852030263919617
4310,65,41,170,4,6.1,2,0,0,1,1,1,4,5.247024072160486,1.8870696490323797,2.995732273553991
322,63,39,101,1,3.9,1,0,1,1,1,0,2,4.795790545596741,1.4816045409242156,2.995732273553991
4302,52,27,85,3,3.4,3,0,0,0,0,0,2,4.653960350157523,1.3609765531356006,2.995732273553991
1024,58,33,122,4,0.2,2,0,0,1,1,0,3,4.955827057601261,-0.35667494393873245,2.995732273553991
4258,52,26,155,3,7.2,2,0,0,0,1,0,2,5.1647859739235145,2.0412203288596382,2.995732273553991
4069,56,32,31,4,1.3,1,0,0,0,0,0,4,3.9318256327243257,0.5877866649021191,2.995732273553991
2808,53,27,35,3,0.9,3,136,0,0,1,0,4,4.007333185232471,0.3364722366212129,5.049856007249537
4309,34,8,188,1,2.9,3,0,0,0,1,0,4,5.337538079701318,1.2237754316221157,2.995732273553991
3122,38,14,54,2,0.6,3,218,0,0,0,0,0,4.30406509320417,0.09531017980432493,5.472270673671475
4249,37,12,63,4,2.1,3,0,0,0,1,0,1,4.418840607796598,0.9555114450274363,2.995732273553991
1616,48,23,84,4,3.1,2,0,1,1,1,0,4,4.6443908991413725,1.2809338454620642,2.995732273553991
1444,60,33,154,1,3.0,2,0,1,1,1,0,0,5.159055299214529,1.252762968495368,2.995732273553991
1007,44,19,99,3,3.5,3,357,0,0,0,0,5,4.77912349311153,1.3862943611198906,5.932245187448011
1910,43,18,83,2,3.8,3,112,0,0,0,0,5,4.634728988229636,1.4586150226995167,4.882801922586371
1583,61,36,184,4,2.3,2,342,0,1,1,1,2,5.318119993844216,1.0296194171811581,5.8916442118257715
2308,39,13,58,2,2.4,2,0,0,0,1,0,4,4.356708826689592,1.0647107369924282,2.995732273553991
1995,35,11,41,1,2.4,2,0,0,0,0,0,4,4.110873864173311,1.0647107369924282,2.995732273553991
1204,26,1,190,4,1.3,2,197,0,0,1,0,1,5.3471075307174685,0.5877866649021191,5.37989735354046
3706,58,33,51,2,1.6,3,123,0,0,1,0,4,4.2626798770413155,0.7419373447293773,4.962844630259907
1793,35,9,113,3,0.8,3,0,0,0,1,0,4,4.890349128221754,0.26236426446749106,2.995732273553991
4865,50,24,133,4,1.4,2,342,0,0,0,1,0,5.030437921392435,0.6418538861723947,5.8916442118257715
770,26,2,172,2,6.9,2,0,0,0,1,0,4,5.2574953720277815,2.0014800002101243,2.995732273553991
1797,35,10,143,1,8.6,1,0,0,0,1,1,1,5.093750200806762,2.2082744135228043,2.995732273553991
1942,61,36,29,2,0.5,2,0,0,0,1,0,0,3.8918202981106265,0.0,2.995732273553991
4026,27,1,142,3,5.5,1,0,0,0,0,0,2,5.087596335232384,1.791759469228055,2.995732273553991
2178,37,13,158,2,2.3,2,0,0,1,1,1,3,5.181783550292085,1.0296194171811581,2.995732273553991
1631,61,36,153,1,2.6,2,0,1,1,0,1,1,5.153291594497779,1.1314021114911006,2.995732273553991
563,51,27,12,4,1.0,1,0,0,0,1,0,4,3.4657359027997265,0.4054651081081644,2.995732273553991
16,38,14,130,4,4.7,3,134,0,0,0,0,5,5.0106352940962555,1.6486586255873816,5.0369526024136295
3889,26,0,19,1,0.1,2,121,0,0,1,0,3,3.6635616461296463,-0.5108256237659907,4.948759890378168
3833,33,9,83,1,0.1,1,0,0,0,1,0,3,4.634728988229636,-0.5108256237659907,2.995732273553991
3959,43,19,123,3,1.3,1,0,0,0,1,0,1,4.962844630259907,0.5877866649021191,2.995732273553991
3356,49,23,115,3,4.6,3,0,0,0,0,0,5,4.90527477843843,1.62924053973028,2.995732273553991
39,38,13,80,4,0.7,3,285,0,0,1,0,4,4.605170185988092,0.1823215567939546,5.720311776607412
3920,34,8,82,2,1.5,3,0,1,1,1,1,3,4.624972813284271,0.6931471805599453,2.995732273553991
2706,43,17,158,1,2.4,1,0,0,0,1,0,0,5.181783550292085,1.0647107369924282,2.995732273553991
3659,33,7,22,1,0.4,2,0,0,0,0,0,4,3.7376696182833684,-0.10536051565782628,2.995732273553991
1751,55,31,25,2,0.2,1,0,0,0,0,0,4,3.8066624897703196,-0.35667494393873245,2.995732273553991
1912,42,16,191,3,4.8,2,0,1,1,1,0,4,5.351858133476067,1.667706820558076,2.995732273553991
3472,54,27,120,4,3.0,2,431,0,0,1,0,2,4.941642422609304,1.252762968495368,6.111467339502679
4322,38,14,44,2,1.7,1,0,0,0,0,0,1,4.1588830833596715,0.7884573603642703,2.995732273553991
3802,31,7,10,4,0.7,2,0,0,0,1,0,5,3.4011973816621555,0.1823215567939546,2.995732273553991
737,64,37,138,2,2.8,2,0,0,0,1,0,4,5.062595033026967,1.1939224684724346,2.995732273553991
1111,54,28,183,1,1.0,1,442,0,0,0,0,0,5.313205979041787,0.4054651081081644,6.135564891081739
2982,59,33,111,3,4.4,1,0,0,0,1,0,5,4.875197323201151,1.589235205116581,2.995732273553991
2078,35,11,21,2,1.0,2,0,0,0,0,0,5,3.713572066704308,0.4054651081081644,2.995732273553991
1495,52,28,178,3,5.4,3,147,0,0,1,0,2,5.288267030694535,1.7749523509116738,5.117993812416755
4408,64,40,181,2,2.3,2,0,0,1,1,1,3,5.303304908059076,1.0296194171811581,2.995732273553991
4408,64,40,181,2,2.3,2,0,0,1,1,1,3,5.303304908059076,1.0296194171811581,2.995732273553991
681,34,9,164,1,6.0,3,0,0,0,1,0,4,5.214935757608986,1.8718021769015913,2.995732273553991
3720,63,39,131,3,2.6,3,229,0,0,1,0,2,5.017279836814924,1.1314021114911006,5.517452896464707
